Date,Open,High,Low,Close,Adj Close,Volume
1996-05-01,31.937500,35.000000,31.000000,33.250000,17.285427,80757000
1996-06-01,33.000000,35.875000,32.750000,35.500000,18.455116,55885500
1996-07-01,35.750000,35.875000,30.125000,31.750000,16.562708,64033400
1996-08-01,31.625000,33.625000,28.375000,28.750000,14.997725,156043700
1996-09-01,28.375000,30.625000,28.000000,28.250000,14.736899,173817100
1996-10-01,28.500000,30.750000,28.125000,29.625000,15.516509,106918300
1996-11-01,29.875000,33.000000,29.500000,30.250000,15.843863,93981700
1996-12-01,29.750000,30.375000,28.500000,29.250000,15.320102,81162900
1997-01-01,30.000000,35.875000,28.625000,34.875000,18.336857,148516300
1997-02-01,34.625000,34.875000,31.500000,33.000000,17.351011,104815800
1997-03-01,32.750000,33.625000,30.750000,32.375000,17.022390,80031600
1997-04-01,32.500000,34.875000,31.000000,34.875000,18.401974,84301700
1997-05-01,34.500000,37.875000,34.500000,36.750000,19.391342,88870300
1997-06-01,37.625000,39.375000,35.625000,37.562500,19.820047,95284100
1997-07-01,37.562500,39.500000,34.812500,38.250000,20.250080,96625200
1997-08-01,37.812500,39.750000,34.875000,36.000000,19.058905,80888500
1997-09-01,36.000000,41.312500,36.000000,40.562500,21.474365,76705200
1997-10-01,40.062500,40.750000,33.375000,36.875000,19.585737,90252500
1997-11-01,36.875000,38.437500,35.250000,36.875000,21.280212,47502500
1997-12-01,37.375000,38.187500,34.125000,36.250000,20.919529,74263400
1998-01-01,36.312500,37.750000,34.187500,36.125000,20.920422,63583200
1998-02-01,36.312500,37.062500,34.312500,36.500000,21.137577,86440800
1998-03-01,36.750000,43.875000,36.250000,42.687500,24.720821,92789400
1998-04-01,42.437500,44.812500,38.375000,39.687500,23.055321,86090600
1998-05-01,39.750000,41.500000,37.375000,40.812500,23.708855,85359900
1998-06-01,40.625000,42.750000,40.062500,41.187500,23.926704,53249900
1998-07-01,41.500000,43.750000,37.000000,38.937500,22.689861,113929700
1998-08-01,38.812500,39.750000,27.562500,27.875000,16.243465,99719100
1998-09-01,29.750000,33.500000,28.000000,29.437500,17.153963,89328200
1998-10-01,29.375000,37.000000,29.000000,33.750000,19.747984,92701900
1998-11-01,34.250000,40.187500,34.187500,38.687500,22.637053,70446500
1998-12-01,39.000000,41.625000,36.625000,40.875000,23.917006,71601400
1999-01-01,40.625000,42.562500,37.500000,39.000000,22.895611,76144500
1999-02-01,38.812500,40.250000,37.000000,37.562500,22.051704,63075100
1999-03-01,38.437500,41.062500,36.187500,39.187500,23.005692,95486800
1999-04-01,39.187500,41.437500,36.125000,36.937500,21.758371,105988100
1999-05-01,36.937500,38.687500,34.062500,35.500000,20.911594,93483300
